name,age,team,pace,shooting,passing,dribbling,position,direction,joined,contract,preferred_foot,international_rep,wage
Darko Lazović,30,Serbia,85,68,72,77,Midfielder,Left,2019-08-06,2022,Right,1,26000
Brandon Mechele,28,Belgium,62,38,50,54,Defender,Left,2012-11-01,2023,Right,1,24000
Alexander Djiku,26,Ghana,71,42,66,69,Defender,Right,2019-07-05,2023,Right,2,21000
Ivan Toney,25,England,80,75,58,72,Striker,Left,2020-08-31,2025,Right,1,46000
Jamie Maclaren,27,Australia,81,75,64,73,Striker,Center,2019-01-31,2024,Right,1,15000
Robert Andrich,26,Germany,59,73,76,71,Substitute,Pending,2021-08-16,2026,Right,2,44000
황의조 Ui Jo Hwang,28,Korea Republic,78,77,64,74,Striker,Left,2019-07-18,2023,Right,2,29000
Riechedly Bazoer,24,Netherlands,72,68,77,78,Defender,Center,2019-07-12,2022,Right,2,14000
Jack O'Connell,27,England,61,37,64,62,Substitute,Pending,2016-07-08,2023,Left,1,26000
Hans Carl Ludwig Augustinsson,27,Sweden,67,60,75,74,Substitute,Pending,2021-08-15,2025,Left,2,23000
Marcos Paulo Mesquita Lopes,25,Portugal,77,72,75,78,Substitute,Pending,2019-08-14,2024,Left,1,2000
Sebastián Alberto Palacios,29,Argentina,91,71,69,79,Reserve,Pending,2021-09-07,2024,Right,1,1000
Daniel Amartey,26,Ghana,65,55,65,69,Substitute,Pending,2016-02-05,2022,Right,1,70000
Niklas Stark,26,Germany,77,52,64,69,Defender,Left,2015-08-24,2022,Right,2,37000
Divock Okoth Origi,26,Belgium,79,75,67,75,Substitute,Pending,2014-07-29,2024,Right,2,88000
Flavien Tait,28,France,73,69,73,77,Midfielder,Left,2019-07-09,2023,Right,2,43000
Luis Enrique Quiñónes,30,Colombia,92,68,69,78,Substitute,Pending,2016-01-01,2023,Left,1,43000
Silvio Ezequiel Romero,32,Argentina,70,75,72,77,Striker,Center,2018-01-30,2023,Right,1,17000
Leonel Ariel Miranda,27,Argentina,79,67,76,78,Midfielder,Right,2020-07-07,2023,Right,1,19000
Lisandro Ezequiel López Dessypris,31,Argentina,62,52,50,61,Substitute,Pending,2020-01-01,2023,Right,3,16000
Julio César Furch,31,Argentina,53,77,61,69,Striker,Center,2021-01-01,2021,Right,1,16000
Julio Alberto Buffarini,32,Argentina,86,60,67,75,Defender,Right,2021-08-05,2023,Right,1,12000
Lucas Daniel Romero,27,Argentina,74,64,73,75,Midfielder,Right,2019-08-06,2022,Right,1,14000
Lucas Manuel Zelarayán,29,Argentina,71,71,76,78,Midfielder,Center,2020-01-01,2022,Right,2,10000
Rúben Miguel Nunes Vezo,27,Portugal,75,54,63,64,Substitute,Pending,2019-07-01,2024,Right,1,24000
Bruno Petković,26,Croatia,75,72,75,80,Striker,Center,2018-08-06,2024,Right,1,1000
Andrea Petagna,26,Italy,61,75,68,76,Substitute,Pending,2020-01-30,2024,Left,2,56000
Youssouf Sabaly,28,Senegal,78,46,63,71,Substitute,Pending,2021-07-01,2026,Right,2,22000
Keita Baldé Diao,26,Senegal,91,74,71,79,Substitute,Pending,2021-09-01,2024,Right,2,33000
Arijan Ademi,30,North Macedonia,66,64,65,71,Midfielder,Left,2010-07-01,2023,Right,1,900
Anwar El Ghazi,26,Netherlands,73,78,70,76,Winger,Left,2019-07-01,2023,Right,1,56000
Islam Slimani,33,Algeria,47,76,73,69,Substitute,Pending,2021-01-15,2022,Right,3,57000
David Robert Brooks,23,Wales,73,71,75,79,Winger,Right,2018-07-01,2022,Left,1,33000
Jan Bednarek,25,Poland,52,22,53,55,Substitute,Pending,2017-07-01,2025,Right,1,42000
Josh Brownhill,25,England,69,67,72,74,Midfielder,Left,2020-01-30,2024,Right,1,33000
Andrija Živković,24,Serbia,78,73,74,81,Winger,Right,2020-09-08,2022,Left,1,1000
Mickaël Ramon Malsa,25,France,73,63,71,76,Substitute,Pending,2020-08-04,2024,Right,1,25000
Alfredo José Morelos Aviléz,25,Colombia,78,75,66,74,Striker,Center,2017-07-01,2023,Right,1,51000
Adam Armstrong,24,England,90,77,66,76,Striker,Left,2021-08-10,2025,Right,1,46000
Anton Miranchuk,25,Russia,76,73,74,77,Substitute,Pending,2012-01-01,2024,Right,1,42000
Mathias Antonsen Normann,25,Norway,72,64,72,75,Substitute,Pending,2019-01-28,2024,Right,1,30000
Diogo Filipe Rocha Costa,26,Portugal,83,66,68,82,Substitute,Pending,2019-01-30,2023,Right,1,13000
Otávio Henrique Passos Santos,27,Brazil,61,55,67,72,Midfielder,Center,2017-08-08,2022,Right,2,23000
Krzysztof Piątek,26,Poland,75,77,53,72,Reserve,Pending,2020-01-30,2025,Right,2,44000
Andrea Conti,27,Italy,75,58,69,74,Reserve,Pending,2017-07-07,2022,Right,2,32000
Omar Jehad Al Somah,32,Syria,68,79,69,72,Striker,Center,2014-07-01,2024,Right,2,40000
Dyego Wilverson Ferreira Sousa,31,Portugal,57,77,61,73,Substitute,Pending,2021-08-31,2022,Right,1,13000
Henry Josué Martín Mex,28,Mexico,79,74,65,75,Striker,Right,2018-01-01,2024,Right,1,48000
Sofyan Amrabat,24,Morocco,69,71,70,75,Substitute,Pending,2020-01-31,2024,Right,1,36000
Yeimar Pastor Gómez Andrade,29,Colombia,60,33,47,58,Defender,Right,2020-02-12,2021,Right,1,9000
Ryan Kent,24,England,91,72,70,79,Forward,Left,2019-09-02,2023,Right,1,46000
Emmanuel Okyere Boateng,25,Ghana,91,74,58,75,Striker,Left,2019-02-20,2022,Right,1,17000
Peter Oladeji Olayinka,25,Nigeria,84,69,70,76,Midfielder,Left,2018-07-21,2023,Right,1,1000
Unai Bustinza Martínez,29,Spain,60,35,63,63,Defender,Right,2016-07-18,2023,Right,1,13000
Stephy Alvaro Mavididi,23,England,89,72,67,75,Striker,Center,2020-07-01,2024,Right,1,22000
Moussa Niakhaté,25,France,77,39,60,66,Defender,Left,2018-07-07,2023,Left,2,21000
Olivier Maxime Boscagli,23,France,74,33,73,74,Defender,Left,2019-07-17,2025,Left,1,14000
Denis Athanase Bouanga,26,Gabon,80,75,70,78,Midfielder,Left,2019-07-09,2023,Right,2,30000
Ché Adams,24,Scotland,84,77,62,74,Striker,Right,2019-07-01,2024,Right,1,46000
Jan Thilo Kehrer,24,Germany,68,44,65,66,Substitute,Pending,2018-08-16,2023,Right,3,49000
Federico Dimarco,23,Italy,75,61,75,74,Substitute,Pending,2018-07-01,2023,Left,2,58000
Gonzalo Nicolás Martínez,28,Argentina,87,72,73,82,Reserve,Pending,2020-09-07,2024,Left,2,38000
Vitor Hugo Franchescoli de Souza,30,Brazil,63,31,38,46,Defender,Left,2020-10-05,2024,Left,1,24000
Jeremiah St. Juste,24,Netherlands,91,58,66,74,Defender,Right,2019-08-07,2023,Right,2,19000
Lucas Simon Pierre Tousart,24,France,59,54,65,65,Substitute,Pending,2020-01-27,2025,Right,2,31000
Gastón Claudio Giménez,29,Paraguay,64,61,73,75,Midfielder,Center,2020-02-25,2021,Left,1,9000
Sander Gard Bolin Berge,23,Norway,64,58,72,73,Midfielder,Right,2020-01-30,2024,Right,1,23000
Pape Abou Cissé,25,Senegal,79,32,46,45,Defender,Left,2017-01-19,2022,Right,1,1000
Benjamin Henrichs,24,Germany,74,53,71,75,Substitute,Pending,2021-04-12,2025,Right,2,46000
Lucas Martínez Quarta,25,Argentina,67,56,69,70,Defender,Left,2020-10-05,2025,Right,2,40000
Oussama Idrissi,25,Morocco,83,76,70,80,Substitute,Pending,2020-10-05,2025,Right,1,26000
Jean David Meneses Villarroel,28,Chile,85,68,69,76,Midfielder,Left,2018-08-01,2022,Right,1,25000
Laureano Antonio Villa Suárez,26,Spain,77,64,74,80,Midfielder,Left,2017-07-01,2023,Right,1,12000
Eduardo Expósito Jaén,24,Spain,53,70,71,74,Midfielder,Right,2019-07-13,2024,Right,1,10000
Pierre Lees-Melou,28,France,67,72,77,76,Midfielder,Right,2021-07-13,2024,Right,1,36000
Suat Serdar,24,Germany,69,69,71,77,Midfielder,Right,2021-07-01,2026,Right,2,35000
Silas Enaldo Barros de Almeida,29,Brazil,78,56,70,68,Defender,Left,2021-07-07,2024,Left,1,14000
Antonaldo David Machado Chagas,33,Brazil,68,36,56,60,Defender,Left,2021-08-13,2024,Right,1,30000
Erick Sebastião Laforte Medeiros,29,Brazil,79,53,67,72,Defender,Left,2021-08-13,2024,Left,1,23000
Nicolás Evandro Filheiro Stein,25,Brazil,72,69,76,76,Midfielder,Center,2021-07-08,2024,Right,1,34000
Rubem Thomas Esteiro Branco,33,Brazil,76,65,73,76,Midfielder,Right,2021-07-08,2024,Right,1,35000
David Jefferson Seijalbo Vaz,25,Brazil,65,53,63,63,Midfielder,Right,2021-07-05,2024,Left,1,29000
Gabriel Jairo Aníbal Rangel,29,Brazil,67,62,66,65,Midfielder,Right,2021-07-05,2024,Right,1,17000
Simão Alvin Acunha Bardini,33,Brazil,77,68,77,77,Midfielder,Right,2021-07-05,2024,Right,1,33000
Adilson Patrick Edrada Pereira,29,Brazil,77,71,70,80,Midfielder,Center,2021-07-08,2024,Right,1,27000
Amadou Diawara,23,Guinea,62,54,71,76,Substitute,Pending,2019-07-01,2024,Right,2,35000
Philipp Lienhart,24,Austria,64,28,56,61,Defender,Right,2018-06-05,2022,Right,2,21000
Diogo António Cupido Gonçalves,24,Portugal,85,72,70,79,Defender,Right,2017-07-01,2025,Right,1,12000
Benjamin White,23,England,69,27,61,67,Defender,Right,2021-07-30,2026,Right,1,52000
Isaac Palazón Camacho,26,Spain,86,74,73,77,Midfielder,Right,2020-01-23,2023,Left,1,20000
堂安 律,23,Japan,79,70,72,80,Substitute,Pending,2019-08-30,2024,Left,1,15000
Jorge Eduardo Sánchez Ramos,23,Mexico,92,45,61,72,Defender,Right,2018-07-01,2025,Right,1,33000
Riccardo Orsolini,24,Italy,80,70,74,81,Winger,Right,2019-07-01,2024,Left,2,27000
Amath Ndiaye Diedhiou,24,Senegal,92,71,67,79,Substitute,Pending,2021-07-01,2025,Right,1,22000
Sebastián Villa Cano,25,Colombia,94,68,64,78,Substitute,Pending,2018-07-23,2024,Right,1,16000
Orel Mangala,23,Belgium,70,53,71,83,Midfielder,Right,2017-07-01,2024,Right,2,23000
Roland Sallai,24,Hungary,72,70,70,79,Midfielder,Right,2018-08-31,2022,Right,2,23000
José Diogo Dalot Teixeira,22,Portugal,79,60,70,77,Reserve,Pending,2018-06-09,2023,Right,2,68000
Antonio Martínez López,24,Spain,72,77,58,72,Striker,Left,2020-10-05,2025,Right,1,13000
Lucas Gastón Robertone,24,Argentina,85,72,74,79,Midfielder,Left,2020-10-01,2025,Right,1,11000
Jerdy Schouten,24,Netherlands,64,55,67,74,Substitute,Pending,2019-07-05,2024,Right,1,24000
Diadié Samassékou,25,Mali,66,49,65,72,Midfielder,Left,2019-08-15,2024,Right,2,28000
Marcus Edwards,22,England,85,66,68,84,Winger,Left,2019-09-02,2023,Left,1,11000
Pol Mikel Lirola Kosok,23,Spain,77,57,70,75,Substitute,Pending,2021-08-24,2026,Right,1,27000
Brais Méndez Portela,24,Spain,71,74,76,74,Midfielder,Right,2015-07-01,2024,Left,1,20000
Darko Brašanac,29,Serbia,55,70,73,73,Midfielder,Left,2019-07-22,2023,Right,1,28000
Pedro Jesús Aquino Sánchez,26,Peru,76,59,66,68,Midfielder,Left,2021-01-06,2024,Right,1,39000
Arnaut Danjuma Groeneveld,24,Netherlands,83,73,70,78,Substitute,Pending,2021-08-19,2026,Right,1,28000
Óscar Melendo Jiménez,23,Spain,78,66,75,78,Substitute,Pending,2016-07-01,2022,Left,1,17000
Roberto Carlos Alvarado Hernández,22,Mexico,76,71,75,77,Winger,Left,2018-07-12,2022,Left,1,48000
Davidson Da Luz Pereira,30,Brazil,76,75,71,78,Midfielder,Left,2020-08-13,2023,Right,1,16000
Keidi Bare,23,Albania,75,61,70,74,Substitute,Pending,2020-09-23,2024,Right,1,15000
Daniel Muñoz Mejía,25,Colombia,78,50,67,71,Defender,Right,2020-07-07,2024,Right,1,15000
Nikola Milenković,23,Serbia,66,44,61,62,Defender,Right,2017-07-10,2023,Right,2,36000
Krépin Diatta,22,Senegal,93,69,66,78,Substitute,Pending,2021-01-22,2025,Right,1,38000
Gleison Bremer Silva Nascimento,24,Brazil,64,35,51,62,Defender,Center,2018-07-10,2023,Right,1,31000
Myron Boadu,20,Netherlands,89,75,61,76,Substitute,Pending,2021-08-04,2026,Right,1,36000
Emile Smith Rowe,20,England,78,64,73,78,Substitute,Pending,2017-07-31,2023,Right,1,49000
Ander Guevara Lajo,23,Spain,53,64,74,71,Substitute,Pending,2017-07-01,2024,Right,1,26000
Mathías Olivera Miramontes,23,Uruguay,76,50,65,70,Defender,Left,2017-08-14,2025,Left,1,21000
Youcef Atal,25,Algeria,90,68,71,79,Defender,Right,2018-07-17,2023,Right,2,26000
Juan Miranda González,21,Spain,78,57,68,74,Substitute,Pending,2021-06-30,2024,Left,1,15000
Lutsharel Geertruida,20,Netherlands,80,52,66,71,Substitute,Pending,2017-05-29,2024,Right,1,8000
Colin Dagba,22,France,82,53,70,77,Reserve,Pending,2018-07-01,2024,Right,1,49000
Pape Alassane Gueye,22,France,73,46,65,70,Substitute,Pending,2020-07-01,2024,Left,1,27000
Francisco Sebastián Córdova Reyes,24,Mexico,83,73,71,79,Midfielder,Left,2019-01-08,2025,Left,1,37000
Stephen Antunes Eustáquio,24,Canada,66,61,75,72,Midfielder,Center,2020-09-15,2024,Right,1,9000
Benoît Badiashile Mukinayi,20,France,62,39,63,58,Defender,Left,2018-07-01,2024,Left,2,29000
Sebastiaan Bornauw,22,Belgium,72,45,60,65,Substitute,Pending,2021-07-16,2026,Right,2,40000
Alexis Saelemaekers,22,Belgium,81,66,74,78,Midfielder,Right,2020-09-01,2024,Right,1,34000
Ricard Puig Martí,21,Spain,67,61,75,81,Substitute,Pending,2018-07-01,2023,Right,1,75000
Lukáš Masopust,28,Czech Republic,88,67,69,77,Midfielder,Right,2019-01-01,2023,Right,1,1000
Lovro Majer,23,Croatia,69,69,78,83,Substitute,Pending,2021-08-26,2026,Left,1,36000
Vitaliy Buyalskyi,28,Ukraine,75,69,72,79,Midfielder,Left,2010-07-01,2023,Right,1,1000
Mykola Shaparenko,22,Ukraine,77,71,76,78,Midfielder,Right,2015-07-10,2025,Right,1,900
Vitaliy Mykolenko,22,Ukraine,78,44,62,61,Defender,Left,2017-07-01,2025,Left,1,850
Gonzalo Villar del Fraile,23,Spain,59,57,75,78,Substitute,Pending,2020-01-30,2024,Right,1,39000
Nayef Aguerd,25,Morocco,60,45,60,61,Defender,Left,2020-08-14,2024,Left,2,36000
Mohamed Salisu Abdul Karim,22,Ghana,67,36,51,55,Defender,Left,2020-08-12,2024,Left,1,38000
Bruno Xavier Almeida Costa,24,Portugal,67,73,75,75,Substitute,Pending,2021-07-06,2024,Right,1,12000
Jean-Clair Dimitri Roger Todibo,21,France,76,44,61,64,Defender,Right,2021-06-28,2026,Right,1,20000
Adam Hložek,18,Czech Republic,78,75,71,76,Striker,Center,2019-01-01,2022,Right,1,500
Giorgios Masouras,27,Greece,83,75,72,74,Winger,Right,2019-01-01,2024,Right,1,1000
Bryan Gil Salvatierra,20,Spain,78,67,72,81,Substitute,Pending,2021-07-26,2026,Left,1,52000
Manor Solomon,21,Israel,81,70,72,78,Midfielder,Left,2019-01-30,2023,Right,1,800
Mateus Cardoso Lemos Martins,21,Brazil,83,70,72,79,Midfielder,Center,2019-02-28,2023,Left,1,800
Lukáš Kalvach,25,Czech Republic,72,64,73,74,Midfielder,Center,2019-06-21,2023,Right,1,1000
Zaidu Sanusi,24,Nigeria,93,36,57,66,Substitute,Pending,2020-08-30,2025,Left,1,11000
Gabriel Teodoro Martinelli Silva,20,Brazil,87,69,67,78,Substitute,Pending,2019-07-02,2024,Right,1,49000
Sergiño Gianni Dest,20,United States,87,59,72,81,Defender,Right,2020-10-01,2025,Right,1,67000
Anssumane Fati,18,Spain,88,74,68,79,Substitute,Pending,2018-07-01,2022,Right,2,44000
Darwin Gabriel Núñez Ribeiro,22,Uruguay,84,75,69,73,Substitute,Pending,2020-09-04,2025,Right,1,13000
Matheus Luiz Nunes,22,Brazil,73,70,70,77,Midfielder,Right,2019-01-31,2025,Right,1,12000
Matías Viña,23,Uruguay,82,62,71,75,Defender,Left,2021-08-09,2026,Left,1,35000
Gonçalo Bernardo Inácio,19,Portugal,79,30,60,59,Defender,Right,2019-07-01,2025,Left,1,7000
Luis Antonio Jiménez Garcés,37,Chile,74,73,77,75,Substitute,Pending,2020-01-01,2021,Right,1,4000
Andrés Nicolás D'Alessandro,40,Argentina,42,71,80,75,Substitute,Pending,2021-01-04,2021,Left,1,900
Lisandro López,38,Argentina,63,77,70,74,Substitute,Pending,2021-06-22,2022,Right,2,15000
Mikel Vesga Arruti,28,Spain,46,63,70,67,Substitute,Pending,2016-07-01,2024,Left,1,25000
Francesco Magnanelli,36,Italy,55,55,69,64,Reserve,Pending,2005-07-01,2022,Right,2,19000
Mark Noble,34,England,37,67,76,73,Substitute,Pending,2004-08-01,2022,Right,2,55000
José Gustavo Sand,40,Argentina,51,79,62,68,Striker,Left,2019-01-21,2022,Right,1,13000
Magnus Wolff Eikrem,30,Norway,62,70,79,75,Midfielder,Center,2018-07-25,2022,Right,1,8000
Ryan Guno Babel,34,Netherlands,77,79,71,77,Substitute,Pending,2019-07-01,2022,Right,3,47000
Thomas Vermaelen,35,Belgium,51,58,68,59,Defender,Left,2019-07-27,2022,Left,3,7000
Salvador Sevilla López,37,Spain,44,72,79,71,Midfielder,Right,2017-08-28,2022,Right,2,16000
Mathieu Debuchy,35,France,65,67,71,74,Defender,Right,2021-08-13,2023,Right,3,5000
Mauro Boselli,36,Argentina,55,76,64,69,Striker,Left,2021-01-12,2021,Right,1,900
Lior Refaelov,35,Israel,67,75,75,79,Midfielder,Left,2021-07-01,2023,Right,2,18000
Gustavo Daniel Cabral Cáceres,35,Argentina,33,33,52,56,Defender,Right,2019-07-16,2021,Right,1,12000
Danny Rose,30,England,72,58,71,75,Substitute,Pending,2021-07-01,2023,Left,2,42000
Ignacio Martín Scocco,36,Argentina,70,79,73,80,Striker,Center,2020-07-07,2021,Right,2,13000
Caner Erkin,32,Turkey,69,72,77,76,Defender,Left,2021-09-06,2022,Left,2,14000
James McArthur,33,Scotland,53,66,72,74,Midfielder,Right,2014-09-01,2023,Right,1,46000
Gonzalo Rubén Bergessio,36,Argentina,50,77,60,65,Striker,Right,2019-09-12,2021,Right,1,1000
Óscar Guido Trejo,33,Argentina,71,72,75,78,Midfielder,Center,2017-07-01,2023,Right,1,18000
James Tomkins,32,England,33,32,56,49,Substitute,Pending,2016-07-05,2022,Right,2,42000
Vadis Odjidja-Ofoe,32,Belgium,58,69,76,74,Midfielder,Right,2018-07-21,2023,Right,2,22000
Ritchie Ria Alfons De Laet,32,Belgium,83,51,64,69,Defender,Left,2019-07-01,2023,Right,1,19000
Ignacio Piatti,36,Argentina,64,75,73,78,Midfielder,Center,2021-02-19,2021,Right,2,14000
Jean-Sylvain Claude Babin,34,France,43,48,59,50,Defender,Right,2016-08-04,2022,Right,1,10000
Bengt Erik Marcus Berg,34,Sweden,71,75,63,72,Striker,Left,2021-07-15,2023,Right,1,7000
Marouane Fellaini-Bakkioui,33,Belgium,36,72,69,70,Midfielder,Left,2019-02-01,2021,Right,3,19000
Fabian Lustenberger,33,Switzerland,46,37,60,65,Defender,Left,2019-07-01,2022,Right,2,15000
Morgan Schneiderlin,31,France,51,57,71,70,Reserve,Pending,2020-07-01,2023,Right,2,26000
Diego Marvin Biseswar,33,Suriname,71,69,76,78,Midfielder,Center,2016-07-01,2022,Right,1,1000
Stefano Okaka Chuka,31,Italy,63,74,59,70,Substitute,Pending,2021-09-08,2023,Right,2,36000
Olívio Da Rosa,34,Brazil,73,69,77,74,Midfielder,Left,2018-06-18,2021,Left,1,15000
Vitorino Gabriel Pacheco Antunes,34,Portugal,71,69,74,75,Defender,Left,2021-07-29,2023,Left,2,10000
Oscar René Cardozo Marín,38,Paraguay,50,80,63,64,Striker,Right,2017-07-01,2021,Left,1,1000
Federico Julián Fazio,34,Argentina,35,40,53,55,Reserve,Pending,2017-07-15,2022,Right,3,39000
Alexandre Rodrigues da Silva,31,Brazil,77,74,69,76,Substitute,Pending,2021-02-13,2021,Right,3,10000
Adam David Lallana,33,England,67,70,78,79,Substitute,Pending,2020-07-27,2023,Right,2,49000
Bořek Dočkal,32,Czech Republic,61,73,80,75,Midfielder,Center,2019-02-22,2022,Right,1,1000
Ciaran Clark,31,Republic of Ireland,51,51,53,55,Substitute,Pending,2016-08-03,2023,Left,2,33000
Mamadou Sakho,31,France,47,33,64,55,Defender,Left,2021-07-27,2024,Left,3,22000
Ljubomir Fejsa,32,Serbia,52,57,63,65,Substitute,Pending,2020-09-24,2022,Right,2,32000
Fabian Delph,31,England,65,67,73,75,Substitute,Pending,2019-07-15,2022,Left,2,58000
Nils Petersen,32,Germany,53,78,58,65,Substitute,Pending,2015-07-01,2022,Right,2,28000
Simon Terodde,33,Germany,54,78,54,66,Striker,Right,2021-07-01,2022,Right,1,14000
Maximiliano Nicol Moralez,34,Argentina,71,71,74,77,Midfielder,Left,2017-02-15,2021,Right,2,9000
Christian Benteke Liolo,30,Belgium,54,76,62,68,Striker,Center,2016-08-20,2023,Right,2,50000
Romain Alessandrini,32,France,84,78,72,78,Striker,Left,2020-02-17,2021,Left,2,16000
Fábio José Ferreira Pacheco,33,Portugal,67,55,70,66,Midfielder,Left,2018-07-01,2023,Right,1,13000
Ismaël Traoré,34,Côte d'Ivoire,40,39,58,50,Defender,Center,2015-07-01,2022,Right,2,20000
Sofiane Feghouli,31,Algeria,71,71,75,78,Midfielder,Right,2017-08-14,2022,Right,3,47000
Maurício José da Silveira Júnior,32,Brazil,72,70,73,74,Midfielder,Right,2020-10-11,2022,Right,1,850
Johnny Russell,31,Scotland,77,73,70,77,Winger,Right,2018-02-07,2021,Left,1,10000
Andrea Poli,31,Italy,61,64,74,76,Midfielder,Right,2021-07-22,2024,Right,2,16000
Odion Jude Ighalo,32,Nigeria,67,77,65,73,Striker,Center,2021-02-04,2023,Right,2,34000
Joshua Christian Kojo King,29,Norway,79,76,68,76,Substitute,Pending,2021-07-09,2023,Right,1,52000
Nikola Kalinić,33,Croatia,63,74,64,73,Substitute,Pending,2020-10-05,2022,Right,3,27000
Maciej Rybus,31,Poland,77,69,72,72,Defender,Left,2017-07-19,2022,Left,2,38000
Leroy Johan Fer,31,Netherlands,64,66,72,70,Midfielder,Right,2021-08-24,2023,Right,2,14000
Fernando Navarro Morán,32,Mexico,86,65,74,73,Reserve,Pending,2018-07-15,2022,Right,1,21000
Francisco José Olivas Alba,32,Spain,47,52,60,60,Defender,Center,2017-08-22,2022,Right,1,11000
Ashley Luke Barnes,31,England,57,75,68,72,Striker,Left,2014-01-10,2022,Right,1,35000
Ondřej Čelůstka,32,Czech Republic,61,53,66,65,Substitute,Pending,2020-08-04,2023,Right,1,1000
Lautaro Germán Acosta,33,Argentina,83,70,71,77,Midfielder,Right,2013-07-13,2022,Right,1,18000
Victor Wanyama,30,Kenya,50,65,66,71,Midfielder,Left,2020-03-06,2022,Right,2,8000
Jonjo Shelvey,29,England,49,72,78,72,Substitute,Pending,2016-01-12,2023,Right,2,37000
John Fleck,29,Scotland,70,72,75,76,Midfielder,Left,2016-07-09,2023,Left,1,29000
Ryan Jack,29,Scotland,61,67,71,75,Substitute,Pending,2017-07-01,2023,Right,1,48000
Gleidionor Figueiredo Pinto Júnior,34,Brazil,76,75,58,70,Striker,Center,2021-02-26,2022,Right,1,11000
Benjamin Hübner,31,Germany,38,31,54,58,Reserve,Pending,2016-07-01,2022,Left,2,28000
Liam Cooper,29,Scotland,50,35,56,58,Defender,Left,2014-08-13,2024,Left,1,60000
Diego Farías da Silva,31,Brazil,82,70,68,78,Substitute,Pending,2014-08-06,2022,Right,2,32000
Francisco Femenía Far,30,Spain,74,57,70,74,Substitute,Pending,2017-07-01,2024,Right,1,42000
Steven Zuber,29,Switzerland,75,73,73,73,Winger,Left,2020-08-04,2022,Right,2,1000
Mikel Balenziaga Oruesagasti,33,Spain,75,46,69,70,Defender,Left,2013-07-01,2022,Left,1,22000
Christian Kabasele,30,Belgium,67,50,51,61,Substitute,Pending,2016-07-01,2023,Right,1,42000
Nathaniel Edwin Clyne,30,England,69,60,71,75,Substitute,Pending,2020-10-14,2022,Right,2,42000
Adem Ljajić,29,Serbia,73,73,78,77,Reserve,Pending,2019-07-04,2022,Right,2,40000
Ulises Alejandro Dávila Plascencia,30,Mexico,76,75,72,78,Midfielder,Center,2021-07-08,2024,Left,1,6000
Johann Berg Guðmunds­son,30,Iceland,67,73,76,75,Midfielder,Right,2016-07-20,2023,Left,1,32000
Junior Wakalible Lago,30,Côte d'Ivoire,87,72,64,74,Substitute,Pending,2016-01-27,2023,Right,1,24000
Fidel Francisco Martínez Tenorio,31,Ecuador,88,72,65,74,Striker,Left,2021-01-01,2022,Left,1,23000
Aleksandr Kokorin,30,Russia,78,74,71,78,Substitute,Pending,2021-01-27,2024,Right,2,48000
Johnathan Aparecido da Silva,31,Brazil,80,76,61,74,Striker,Center,2021-04-06,2021,Right,1,7000
Uílson de Souza Paula Júnior,32,Brazil,80,55,72,75,Reserve,Pending,2017-01-17,2024,Right,2,30000
Allan-Roméo Nyom,33,Cameroon,79,59,73,69,Substitute,Pending,2019-07-24,2022,Right,2,25000
Romain Hamouma,34,France,67,76,75,78,Midfielder,Right,2012-07-19,2022,Right,2,31000
Mateusz Andrzej Klich,31,Poland,66,72,74,73,Midfielder,Left,2017-06-23,2024,Right,1,63000
Jens Stryger Larsen,30,Denmark,79,61,72,74,Midfielder,Left,2017-08-25,2022,Right,1,17000
David Petrus Wenceslaus Henri Pröpper,29,Netherlands,54,70,76,76,Substitute,Pending,2021-07-01,2023,Right,2,18000
Pontus Jansson,30,Sweden,59,42,53,62,Defender,Center,2019-07-08,2022,Right,1,38000
Martín Montoya Torralbo,30,Spain,74,60,70,72,Substitute,Pending,2020-08-25,2024,Right,2,20000
Florian Kainz,28,Austria,72,73,72,77,Midfielder,Left,2019-01-18,2022,Right,2,27000
Tom Cairney,30,Scotland,63,72,77,77,Substitute,Pending,2015-06-26,2024,Left,1,49000
José Pedro Fuenzalida Gana,36,Chile,87,63,71,79,Winger,Right,2016-01-10,2021,Right,1,11000
Simone Verdi,28,Italy,80,73,75,80,Substitute,Pending,2020-09-01,2023,Left,2,42000
Jordan Pierre Ayew,29,Ghana,76,74,70,78,Winger,Left,2019-07-25,2022,Right,2,52000
Juan Miguel Jiménez López,28,Spain,73,75,69,76,Substitute,Pending,2019-07-01,2024,Right,1,23000
Dan Burn,29,England,48,33,63,58,Substitute,Pending,2018-08-09,2023,Left,1,46000
Samuel Sáiz Alonso,30,Spain,77,67,72,80,Midfielder,Left,2019-07-18,2023,Right,1,13000
Daniel José Rodríguez Vázquez,33,Spain,85,75,74,72,Midfielder,Left,2018-07-02,2023,Right,1,24000
Zakaria Labyad,28,Morocco,72,75,76,78,Substitute,Pending,2018-07-01,2022,Right,1,16000
Manolo Gabbiadini,29,Italy,67,79,71,76,Substitute,Pending,2019-01-11,2026,Left,2,21000
Nampalys Mendy,29,Senegal,67,54,69,75,Substitute,Pending,2016-07-03,2023,Right,1,70000
Grant Hanley,29,Scotland,52,32,45,51,Defender,Right,2017-08-30,2025,Right,1,31000
Sergio Álvarez Díaz,29,Spain,61,66,68,68,Midfielder,Left,2018-07-26,2022,Right,1,11000
Alejandro Fernández Iglesias,28,Spain,57,70,79,74,Midfielder,Center,2017-08-07,2022,Right,1,28000
