nombre,edad,seleccion,posicion
Rhys Williams,32,Australia,Defender
Gabriel Arturo Torres Tejada,32,Panama,Striker
Jelle Vossen,32,Belgium,Striker
Nabil Dirar,35,Morocco,Substitute
Simone Damiano Grippo,32,Switzerland,Defender
Hakan Özmert,36,Turkey,Substitute
Artur Jędrzejczyk,33,Poland,Defender
Simone Iacoponi,34,Italy,Substitute
Wout Brama,34,Netherlands,Midfielder
Federico Peluso,37,Italy,Substitute
Xavier Torres Buigues,34,Spain,Substitute
Gary Hooper,33,England,Striker
Emiliano Adrián Insúa Zapata,32,Argentina,Defender
Hugo Leonardo Silva Serejo,35,Brazil,Midfielder
Mërgim Mavraj,35,Albania,Defender
Lucas Ramón Barrios Cáceres,36,Paraguay,Substitute
Jonathan Howson,33,England,Midfielder
Rui Pedro da Rocha Fonte,31,Portugal,Substitute
Claudio Ariel Yacob,33,Argentina,Midfielder
Nill De Pauw,31,Congo DR,Substitute
Younousse Sankharé,31,Senegal,Substitute
Sergio Tejera Rodríguez,31,Spain,Midfielder
Jorge Antonio Flores Villafaña,31,United States,Defender
Joseph Michael Allen,31,Wales,Midfielder
Sebastián César Helios Ribas Barbato,33,Uruguay,Striker
Denis Odoi,33,Belgium,Reserve
Salustiano Antonio Candia Galeano,37,Paraguay,Defender
Pablo Daniel Zeballos Ocampos,35,Paraguay,Substitute
Marcos Paulo Gelmini Gomes,32,Brazil,Midfielder
Güray Vural,33,Turkey,Defender
Geoff Cameron,35,United States,Defender
Róger Espinoza Ramírez,34,Honduras,Midfielder
Ezequiel Matías Muñoz,30,Argentina,Substitute
Jefferson Antonio Montero Vite,31,Ecuador,Substitute
Omar Jesús Merlo,35,Argentina,Defender
Miguel Ángel Ponce Briseño,32,Mexico,Substitute
Jakob Jantscher,32,Austria,Striker
Joren Dom,31,Belgium,Defender
Marco Sau,33,Italy,Forward
Marc Valiente Hernández,34,Spain,Defender
Saúl Berjón Pérez,35,Spain,Midfielder
Mattias Erik Johansson,29,Sweden,Substitute
Nathan Baker,30,England,Substitute
Artur Adam Sobiech,31,Poland,Substitute
José Antonio Ríos Reina,31,Spain,Defender
Zdeněk Ondrášek,32,Czech Republic,Substitute
Tabaré Uruguay Viudez Mora,31,Uruguay,Substitute
İsmail Köybaşı,31,Turkey,Defender
Dejan Sorgić,31,Serbia,Striker
Panagiotis Tachtsidis,30,Greece,Midfielder
Diego Eduardo De Buen Juárez,29,Mexico,Midfielder
Stefan Hierländer,30,Austria,Midfielder
Karl Emil Salomonsson,32,Sweden,Defender
Jesús Antonio Isijara Rodríguez,31,Mexico,Substitute
Cristóbal Márquez Crespo,37,Spain,Midfielder
Andreu Fontàs Prat,31,Spain,Defender
Juan Villar Vázquez,33,Spain,Substitute
Lennart Thy,29,Germany,Striker
Marc Mateu Sanjuán,31,Spain,Defender
Edgar Prib,31,Russia,Midfielder
Matías Ezequiel Schelotto,32,Italy,Substitute
Diego Falcinelli,30,Italy,Substitute
Iván Alexis Pillud,35,Argentina,Substitute
Ömer Bayram,29,Turkey,Substitute
Fabio Pisacane,35,Italy,Substitute
Chris Mavinga,30,Congo DR,Substitute
Carlos Nicolás Colazo,30,Argentina,Substitute
Christian Groß,32,Germany,Midfielder
Andreas Weimann,29,Austria,Midfielder
James Steven Collins,30,Republic of Ireland,Substitute
Veysel Sarı,32,Turkey,Defender
Alper Potuk,30,Turkey,Substitute
Marco Filipe Lopes Paixão,36,Portugal,Substitute
Fredrik Ulvestad,29,Norway,Substitute
Knowledge Musona,31,Zimbabwe,Midfielder
Daniel Sánchez Ayala,30,Spain,Defender
岡崎 慎司,35,Japan,Substitute
Anton Zabolotnyi,30,Russia,Substitute
Luca Marrone,31,Italy,Substitute
Miguel Ángel Paniagua Rivarola,34,Paraguay,Defender
Florent Olivier Sylvain Hanin,31,France,Defender
Danny Batth,30,England,Substitute
Geoffry Hairemans,29,Belgium,Midfielder
Jacopo Sala,29,Italy,Substitute
Eric Larsson,29,Sweden,Defender
Greg Cunningham,30,Republic of Ireland,Defender
Jordi Amat Maas,29,Spain,Defender
Alexander Kačaniklić,29,Sweden,Reserve
Gonzalo Pablo Castellani,33,Argentina,Midfielder
Anthony Ujah,30,Nigeria,Reserve
Luis Ángel Mendoza Escamilla,31,Mexico,Substitute
Nikola Đurđić,35,Serbia,Substitute
Raúl Rodríguez Navas,33,Spain,Defender
Saliou Ciss,32,Senegal,Defender
Andy Aryel Najar Rodríguez,28,Honduras,Defender
Romain Amalfitano,31,France,Forward
Vincent Pajot,30,France,Substitute
Nicolas Isimat-Mirin,29,France,Substitute
Isaac Cofie,29,Ghana,Midfielder
Amir Abrashi,31,Albania,Midfielder
Timo Beermann,30,Germany,Substitute
Matías Aguirregaray Guruceaga,32,Uruguay,Substitute
Alejandro Gálvez Jimena,32,Spain,Substitute
Joffrey Cuffaut,33,France,Defender
Aridai Cabrera Suárez,32,Spain,Striker
Francisco Manuel Vélez Jiménez,30,Spain,Defender
Josué Filipe Soares Pesqueira,30,Portugal,Substitute
Pedro Manuel da Silva Moreira,32,Portugal,Midfielder
Emre Çolak,30,Turkey,Substitute
Jamie Paterson,29,England,Midfielder
Atınç Nukan,27,Turkey,Defender
Santiago García,32,Argentina,Substitute
Barry James Douglas,31,Scotland,Defender
Douglas Da Silva Vieira,33,Brazil,Substitute
이용 李镕,34,Korea Republic,Defender
Ryan Leonard,29,England,Substitute
Tolga Ciğerci,29,Turkey,Midfielder
Christoph Knasmüllner,29,Austria,Substitute
André Renato Soares Martins,31,Portugal,Midfielder
Dominik Kaiser,32,Germany,Substitute
Doneil Jor-Dee Ashley Henry,28,Canada,Defender
Kasper Kusk Vangsgaard,29,Denmark,Substitute
김영권 金英权,31,Korea Republic,Defender
Veton Berisha,27,Norway,Striker
Erik Morán Arribas,30,Spain,Midfielder
Abdul Rahman Khalili,29,Sweden,Substitute
Charles Kwabena Sapong,32,United States,Striker
Ziya Erdal,33,Turkey,Substitute
Luděk Pernica,31,Czech Republic,Substitute
Álvaro Rey Vázquez,31,Spain,Substitute
Adam Jake Taggart,28,Australia,Striker
Nahki Wells,31,Bermuda,Substitute
Christoffer Åke Sven Nyman,28,Sweden,Striker
신진호 申振豪,32,Korea Republic,Midfielder
Héber Araújo dos Santos,29,Brazil,Substitute
Britt Curtis Assombalonga,28,Congo DR,Winger
Thiago Galhardo do Nascimento Rocha,31,Brazil,Substitute
Terence Kongolo,27,Netherlands,Substitute
Jasmin Ščuk,30,Bosnia and Herzegovina,Substitute
Sonny Bradley,29,England,Substitute
Jón Guðni Fjóluson,32,Iceland,Defender
Michael Jeroen Maarten Michiel de Leeuw,34,Netherlands,Striker
Tetchi Jores Charlemagne Ulrich Okore,28,Denmark,Defender
Mickaël Barreto,30,France,Midfielder
Kerim Frei Koyunlu,27,Turkey,Substitute
Saido Berahino,27,Burundi,Substitute
Julian Korb,29,Germany,Defender
José Élber Pimentel da Silva,29,Brazil,Midfielder
Fabio Lucioni,33,Italy,Defender
Paweł Olkowski,31,Poland,Substitute
Diego Iván Rubio Kostner,28,Chile,Substitute
Kal Naismith,29,Scotland,Defender
Phillipp Klement,28,Germany,Substitute
Zlatko Tripić,28,Norway,Winger
Marco Thiede,29,Germany,Defender
Luka Krajnc,26,Slovenia,Substitute
Dave Bulthuis,31,Netherlands,Defender
Ryan Woods,27,England,Midfielder
André Ivan Biyogo Poko,28,Gabon,Midfielder
Jacopo Dezi,29,Italy,Substitute
Kalifa Coulibaly,29,Mali,Substitute
Yassine Benzia,26,Algeria,Midfielder
Simon Augustin Falette,29,Guinea,Defender
Pelly-Ruddock Mpanzu,27,Congo DR,Midfielder
Matthew Pearson,27,England,Defender
Sergi Samper Montañá,26,Spain,Midfielder
Alfie Mawson,27,England,Substitute
Zymer Bytyqi,24,Kosovo,Midfielder
Roberto Antonio Correa Silva,28,Spain,Substitute
Andrés José Rodríguez Gaitán,31,Spain,Midfielder
Youssouf Yacoub M'Changama,30,Comoros,Midfielder
Jimmy Giraudon,29,France,Defender
Luis Carlos Cardozo Espillaga,32,Paraguay,Substitute
Bart van Hintum,34,Netherlands,Defender
Gerso Fernandes,30,Guinea Bissau,Winger
Alison Lopes Ferreira,28,Brazil,Midfielder
José Juan Vázquez Gómez,33,Mexico,Midfielder
Birama Touré,29,Mali,Midfielder
Joshua Brenet,27,Netherlands,Reserve
Julian Jeanvier,28,Guinea,Reserve
Gergő Lovrencsics,32,Hungary,Defender
Emanuel Herrera,34,Argentina,Substitute
Luca Danilo Zuffi,31,Switzerland,Midfielder
Luis Fernando Quintana Vega,29,Mexico,Defender
Luka Đorđević,26,Montenegro,Striker
Riccardo Improta,27,Italy,Substitute
Robert Mario Flores Bistolfi,27,Peru,Reserve
César De La Hoz López,29,Spain,Substitute
Pablo Valcarce Vidal,28,Spain,Substitute
Arnór Ingvi Traustason,28,Iceland,Substitute
Ramon Olamilekan Azeez,28,Nigeria,Substitute
Corentin Jean,25,France,Substitute
Claudio Gastón Corvalán,32,Argentina,Defender
Rudy Alejandro Cardozo Fernández,31,Bolivia,Substitute
Jamal Lowe,26,Jamaica,Substitute
Lewis Baker,26,England,Reserve
Alejandro Melean Villarroel,34,Bolivia,Defender
Jaime Gómez Valencia,27,Mexico,Reserve
Jordi Vanlerberghe,25,Belgium,Defender
Borja López Menéndez,27,Spain,Substitute
Sebastian Kerk,27,Germany,Midfielder
Brandon Thomas Llamas,26,Spain,Striker
Roberto Insigne,27,Italy,Forward
Wil Trapp,28,United States,Midfielder
Callum O'Dowda,26,Republic of Ireland,Substitute
Carlos Ernesto Cisneros Barajas,27,Mexico,Substitute
David Kinsombi,25,Germany,Midfielder
Sven Michel,30,Germany,Winger
Sven van Beek,26,Netherlands,Defender
Francisco Javier Calvo Quesada,28,Costa Rica,Defender
Steeven Willems,30,France,Substitute
Sascha Horvath,24,Austria,Winger
Matheus Simonete Bressanelli,28,Brazil,Defender
Isaiah Brown,24,England,Substitute
Calmon Wergiton do Rosário,32,Brazil,Midfielder
João Pedro Almeida Machado,28,Portugal,Midfielder
Fankaty Dabo,25,England,Defender
Hervin Scicchitano Ongenda,26,France,Midfielder
Lebogang Lelani Phiri,26,South Africa,Midfielder
Rasmus Schüller,30,Finland,Midfielder
Baptiste Guillaume,26,Belgium,Striker
Fáiner Torijano Cano,32,Colombia,Defender
Pablo Alejandro Parra Rubilar,27,Chile,Substitute
Esteban Andres Pavez Suazo,31,Chile,Midfielder
Juan Antonio Delgado Baeza,28,Chile,Winger
Rafael Andrés Carrascal Avilez,28,Colombia,Midfielder
Darwin Zamir Andrade Marmolejo,30,Colombia,Defender
Valber Roberto Huerta Jerez,27,Chile,Substitute
Juan David Rodríguez Rico,28,Colombia,Reserve
Lucas Nahuel Rodríguez,27,Argentina,Defender
Ángelo Nicolás Sagal Tapia,28,Chile,Striker
Jakub Czerwiński,29,Poland,Defender
Alfonso Cristián Parot Rojas,31,Chile,Defender
Henry Matías Mier Codina,30,Uruguay,Midfielder
Gerard Gumbau Garriga,26,Spain,Reserve
Matías Ezequiel Catalán,28,Argentina,Substitute
Mauro Ezequiel Bogado,36,Argentina,Midfielder
Gastón Adrián Lezcano,34,Argentina,Substitute
Damián Alfredo Pérez,32,Argentina,Defender
Fernando Zuqui,29,Argentina,Midfielder
Martín Cauteruccio Rodríguez,34,Uruguay,Striker
Cristian Matías Menéndez,33,Argentina,Substitute
Ibrahima Khaliloulah Seck,31,Senegal,Substitute
Joeliton Lima Santos,28,Brazil,Defender
Adrien-Mehdi Monfray,30,France,Defender
Dario Župarić,29,Croatia,Defender
Boli Bolingoli-Mbombo,26,Belgium,Substitute
Emiliano Jorge Rubén Méndez,32,Argentina,Midfielder
Bartosz Kapustka,24,Poland,Reserve
Alen Halilović,25,Croatia,Midfielder
Jan Gyamerah,26,Germany,Substitute
Tornike Okriashvili,29,Georgia,Midfielder
Anderson Daniel Plata Guillén,30,Colombia,Substitute
Franco Gabriel Mussis,29,Argentina,Midfielder
Stian Rode Gregersen,26,Norway,Defender
Juan Cruz Kaprof,26,Argentina,Substitute
Wilker José Ángel Romero,28,Venezuela,Substitute
Víctor Hugo García Hernández,27,Venezuela,Substitute
Kevin Molino,31,Trinidad and Tobago,Substitute
Facundo Sánchez,31,Argentina,Substitute
Dominic Iorfa,26,England,Defender
Hellings Frank Mhango,28,Malawi,Striker
Edwin Alexis Velasco Uzuriaga,29,Colombia,Substitute
Ezequiel Osvaldo Cerutti,29,Argentina,Winger
Stefan Simič,26,Czech Republic,Defender
Uroš Matić,31,Serbia,Midfielder
Gonzalo Mathías Mastriani Borges,28,Uruguay,Striker
Jorge Nicolás Figal,27,Argentina,Defender
David Costas Cordal,26,Spain,Defender
Alex Ferrari,27,Italy,Substitute
Thulani Hlatshwayo,31,South Africa,Defender
Mohammed Ibrahim Kanoo,26,Saudi Arabia,Substitute
Olivier Michel Kemen,24,France,Substitute
Alexis Rafael Pérez Fontanilla,27,Colombia,Defender
Omar Nicolás Govea García,25,Mexico,Substitute
Leonardo Adrián Villagra Enciso,30,Paraguay,Striker
Viðar Örn Kjartansson,31,Iceland,Striker
Lys Mousset,25,France,Substitute
Godfred Donsah,25,Ghana,Midfielder
Yairo Yesid Moreno Berrío,26,Colombia,Defender
Núrio Domingos Matias Fortuna,26,Angola,Midfielder
José David Ramírez García,25,Mexico,Defender
Paul Viorel Anton,30,Romania,Substitute
唐淼,30,China PR,Defender
Francisco David Fydriszewski,28,Argentina,Striker
Isaac Ajayi Success,25,Nigeria,Reserve
Grejohn Kyei,25,France,Striker
Benson Manuel Hedilazio,24,Belgium,Winger
Chadrac Akolo Ababa,26,Congo DR,Substitute
Uğur Çiftçi,29,Turkey,Defender
Ahmet Yılmaz Çalık,27,Turkey,Defender
Fabián Ariel Noguera,28,Argentina,Defender
Şener Özbayraklı,31,Turkey,Reserve
Sérgio Henrique Francisco,36,Brazil,Midfielder
Hugo Adnan Boumous,25,Morocco,Midfielder
Leart Paqarada,26,Kosovo,Defender
Erik Marxen,30,Denmark,Defender
Damian Dawid Szymański,26,Poland,Midfielder
Sheraldo Becker,26,Suriname,Reserve
Recep Niyaz,26,Turkey,Midfielder
João Ricardo da Silva Afonso,31,Portugal,Defender
Perry Ng Tian-Hee,25,England,Defender
Aaron Leya Iseka,23,Belgium,Substitute
Jeppe Theis Tverskov,28,Denmark,Substitute
Jordy de Wijs,26,Netherlands,Defender
Mohamed Rayhi,27,Morocco,Winger
Alessandro Ciranni,25,Belgium,Substitute
Joe Williams,24,England,Substitute
Germán Andrés Lanaro,35,Argentina,Defender
Philipe Sampaio Azevedo,26,Brazil,Defender
Ulises Rivas Gilio,25,Mexico,Reserve
Esteban Rodrigo Burgos,29,Argentina,Substitute
Jessy Bénet,26,France,Substitute
Yann Yves Laurent Bodiger,26,France,Midfielder
Rafael António Figueiredo Ramos,26,Portugal,Defender
Jean-Luc Mamadou Diarra Dompé,25,France,Defender
Walmer Pacheco Mejía,26,Colombia,Substitute
Benjamin Whiteman,25,England,Midfielder
Mimoun Mahi,27,Morocco,Substitute
Tony Mauricio,27,France,Midfielder
Vincent Edouard André Koziello,25,France,Substitute
Sinan Gümüş,27,Germany,Reserve
Ygor Nogueira de Paula,26,Brazil,Defender
Kevin Alexander Balanta Lucumí,24,Colombia,Substitute
Kasim Adams Nuhu,26,Ghana,Substitute
Marc Bola,23,England,Defender
Ben Sheaf,23,England,Midfielder
Chris Anthony Willock,23,England,Striker
Reece Oxford,22,England,Substitute
Babajide David Akintola,25,Nigeria,Winger
Scott McKenna,24,Scotland,Defender
Cedric Teuchert,24,Germany,Substitute
Sergio Akieme Rodríguez,23,Spain,Defender
Greg John Taylor,23,Scotland,Defender
Juninho Bacuna,23,Curacao,Substitute
Felipe Augusto Rodrigues Pires,26,Brazil,Midfielder
Berkan Emir,33,Turkey,Defender
Diego González Polanco,26,Spain,Substitute
Damián Oscar Lemos,32,Argentina,Substitute
Eric Joel Andersson,24,Sweden,Defender
Favio Enrique Álvarez,28,Argentina,Midfielder
Maximiliano Samuel Romero,22,Argentina,Substitute
Randall Enrique Leal Arley,24,Costa Rica,Substitute
Marvin Mehlem,23,Germany,Substitute
Felix Passlack,23,Germany,Substitute
Marvin Wanitzek,28,Germany,Midfielder
Brian Oliván Herrero,27,Spain,Defender
Carlens Jean Fedlaire Ruby Arcus,25,Haiti,Substitute
Óscar Eduardo Estupiñán Vallesilla,24,Colombia,Striker
João Pedro da Costa Gamboa,24,Portugal,Midfielder
Aitor Buñuel Redrado,23,Spain,Defender
Rodrigo Tarín Higón,24,Spain,Substitute
Marc Roberts,30,England,Defender
Dion Johan Cools,25,Belgium,Substitute
Aminu Umar,26,Nigeria,Substitute
Matthieu Udol,25,France,Defender
Anto Grgić,24,Switzerland,Midfielder
Yanis Rahmani Cordeiro,26,France,Midfielder
Lukas Klünter,25,Germany,Substitute
Pascal Stenzel,25,Germany,Substitute
Jordi Calavera Espinach,25,Spain,Defender
Sandro Mike Lauper,24,Switzerland,Substitute
Assane Dioussé El Hadji,23,Senegal,Substitute
Renato Fred Baumer Trigo,25,Brazil,Substitute
Samuel Thomas Carvalho Melo,25,Brazil,Substitute
Jaime Frederico Cavaco Dorta,21,Brazil,Substitute
Daniel Clayton Branco Julião,25,Brazil,Substitute
Paolo Marco Leima Donatelo,21,Brazil,Substitute
Breno Evandro Bemposta Dimas,25,Brazil,Substitute
Marlon Rômulo Dias Cavalcanti,25,Brazil,Midfielder
Adeilson Daniel Gesser Esser,29,Brazil,Substitute
Heltinho Melo Chaves,25,Brazil,Substitute
Elton Matheus Bessa Acuna,25,Brazil,Substitute
Cristian Enzo Lodeira Araujo,29,Brazil,Striker
Douglas Arthur Silbeira Martins,25,Brazil,Substitute
Jonaldo Kauã Monteiro Moura,21,Brazil,Midfielder
Sanaldo Dilson Caiado Dutra,33,Brazil,Substitute
Luan Vágner Simões Eustáquio,21,Brazil,Midfielder
Milton Boas Menceiros Cunha,29,Brazil,Defender
Arturo Jonaldo Pombal de Faria,25,Brazil,Defender
Heitor Edvaldo Zanon Barros,25,Brazil,Defender
Nuno Jorgino Moldeiro Vaz,25,Brazil,Substitute
Elton Matheus Marques Paiva,29,Brazil,Substitute
Allison Alan Sireo Milazar,21,Brazil,Defender
Renato Peter Mestres Silveira,29,Brazil,Substitute
Lourival Adnan Diniz Prazeres,21,Brazil,Substitute
Anselmo Túlio Marques Barni,21,Brazil,Substitute
Eduardo Estevão Neto Heck,25,Brazil,Striker
Leôncio Roger Lobeiro Cunha,21,Brazil,Substitute
Tiago Nathan Pombeira Gesser,21,Brazil,Midfielder
Paulo Bernard Alves Coelho,25,Brazil,Midfielder
Jonas Welson Orsi de Meneses,21,Brazil,Striker
Saberto Josué Botelho Rios,21,Brazil,Substitute
Cryzan da Cruz Queiroz Barcelos,24,Brazil,Winger
Jean-Victor Makengo,23,France,Substitute
Antonio Marchesano,30,Switzerland,Midfielder
Charles Traoré,29,Mali,Substitute
Aitor Cantalapiedra Fernández,25,Spain,Substitute
Lloyd Kelly,22,England,Defender
José Manuel Arnáiz Díaz,26,Spain,Midfielder
Thibang Sindile Theophilus Phete,27,South Africa,Defender
Quentin Boisgard,24,France,Substitute
Leonardo Acevedo Ruiz,25,Colombia,Substitute
Saman Ghoddos,27,Iran,Substitute
Jarosław Niezgoda,26,Poland,Reserve
Mathias Honsak,24,Austria,Substitute
Collins Ngoran Suiru Fai,28,Cameroon,Substitute
Callum Brittain,23,England,Defender
Hárold Santiago Mosquera Caicedo,26,Colombia,Substitute
Anfernee Dijksteel,24,Netherlands,Defender
铃木 武藏,27,Japan,Striker
江坂 任,29,Japan,Substitute
仲川 輝人,28,Japan,Substitute
喜田 拓也,26,Japan,Substitute
西 大伍,33,Japan,Substitute
柴崎 岳,29,Japan,Substitute
土居 聖真,29,Japan,Midfielder
Christian Hernando Rivera Cuéllar,25,Colombia,Midfielder
Rick van Drongelen,22,Netherlands,Substitute
室屋 成,27,Japan,Defender
Kamil Jóźwiak,23,Poland,Substitute
Sfiso Sandile Hlanti,31,South Africa,Substitute
Allan Campbell,22,Scotland,Midfielder
Riley Patrick McGree,22,Australia,Substitute
Alin Dorinel Toșca,29,Romania,Defender
Fernando Vicente Gaibor Orellana,29,Ecuador,Substitute
Arles Eduardo Flores Crespo,30,Venezuela,Midfielder
Kristiyan Malinov,27,Bulgaria,Midfielder
Aïssa Bilal Laïdouni,24,France,Substitute
Hueglo dos Santos Neris,29,Brazil,Defender
Jakob Lungi Sørensen,23,Denmark,Substitute
Charles Monginda Pickel,24,Switzerland,Midfielder
Mamadou Fall,29,Senegal,Substitute
Cristian Yonathan Calderón Del Real,24,Mexico,Substitute
Victor Marlon Bereitta Cortejo,25,Brazil,Substitute
Andreas Albers Nielsen,31,Denmark,Striker
Johan Orlano Moreno Vivas,30,Venezuela,Midfielder
Mohamed El Hankouri,24,Morocco,Defender
George Frederick Cox,23,England,Defender
Dante Vanzeir,23,Belgium,Striker
Aleksandar Sedlar,29,Serbia,Reserve
Husein Balić,25,Austria,Winger
Jhon Édison Mosquera Rebolledo,31,Colombia,Substitute
Benito Ramírez del Toro,25,Spain,Defender
Samir Memišević,27,Bosnia and Herzegovina,Defender
Srđan Babić,25,Bosnia and Herzegovina,Substitute
Álvaro José Jiménez Guerrero,26,Spain,Reserve
Ryan Yates,23,England,Midfielder
Lucas da Silva Izidoro,25,Brazil,Midfielder
Mamadou Fofana,23,Mali,Defender
Juan Francisco Brunetta,24,Argentina,Winger
Facundo Barcelo Viera,28,Uruguay,Substitute
Norberto Alejandro Briasco Balekian,25,Armenia,Striker
Jailson Pietro Oliva Chiamulera,29,Brazil,Substitute
Luan Vágner Sendeiro Zanon,29,Brazil,Substitute
Lourival Adnan Rodeiro Reis,29,Brazil,Substitute
Martin Victor Cordeia Damasco,25,Brazil,Substitute
Marlion Rômulo Rolim Nascimento,29,Brazil,Substitute
Túlio Sebastião Sandoiro Baumer,25,Brazil,Striker
Darío Javier Aimar Álvarez,26,Ecuador,Reserve
Cédric Zesiger,23,Switzerland,Substitute
Steven Alzate,22,Colombia,Substitute
Lewis O'Brien,22,England,Midfielder
Walterson Silva,26,Brazil,Midfielder
Gabriel Hernán Rojas,24,Argentina,Substitute
Luis Daniel González Cova,30,Venezuela,Midfielder
Enrique Pérez Muñoz,24,Spain,Substitute
Mohamed Buya Turay,26,Sierra Leone,Substitute
Moussa Wagué,22,Senegal,Substitute
Eddie Livington Segura Martínez,24,Colombia,Substitute
Miles Gordon Robinson,24,United States,Defender
Aaron Anthony Connolly,21,Republic of Ireland,Substitute
Juan José Nieto Zarzoso,26,Spain,Substitute
三浦 弦太,26,Japan,Defender
Eric Curbelo de la Fe,27,Spain,Defender
奥奈 武,25,Japan,Winger
Marcus Tavernier,22,England,Midfielder
Dennis Tørset Johnsen,23,Norway,Winger
Gastón Alberto Togni,23,Argentina,Substitute
Merveille Bopé Bokadi,25,Congo DR,Reserve
Ajdin Hrustić,24,Australia,Reserve
Brooks Lennon,23,United States,Defender
Bruno Alexandre Vieira Almeida,23,Portugal,Midfielder
Valentín Mariano José Castellanos Giménez,22,Argentina,Striker
나상호 那尚昊,24,Korea Republic,Winger
Moritz Heyer,26,Germany,Substitute
Sebastian Vasiliadis,23,Greece,Substitute
Daniel Keita-Ruel,31,France,Striker
Christopher Antwi-Adjei,27,Ghana,Substitute
Atakan Karazor,24,Germany,Substitute
정우영 Woo Yeong Jeong,21,Korea Republic,Striker
Aylton Filipe Boa Morte,27,Portugal,Winger
Tibor Halilović,26,Croatia,Midfielder
Robbie D'Haese,22,Belgium,Midfielder
Julian Chabot,23,Germany,Substitute
Adrian Grbić,24,Austria,Substitute
Gerzino Nyamsi,24,France,Substitute
Jonathan Alberto Levi,25,Sweden,Winger
Romano Christian Schmid,21,Austria,Winger
Marko Raguž,23,Austria,Substitute
Sergio Duvan Córdova Lezama,23,Venezuela,Substitute
Jakub Piotr Moder,22,Poland,Substitute
Danilo Pereira Da Silva,22,Brazil,Substitute
N'Guessan Rominigue Kouamé,24,Mali,Midfielder
Fernando Beltrán Cruz,23,Mexico,Midfielder
Nikolai Baden Frederiksen,21,Denmark,Striker
Eldar Ćivić,25,Bosnia and Herzegovina,Defender
Ivan Ljubić,24,Austria,Substitute
Williams Ismael Riveros Ibáñez,28,Paraguay,Defender
Dumisani Zuma,26,South Africa,Substitute
Kévin Lucien Zohi,24,Mali,Substitute
Tyrese Campbell,21,England,Substitute
Michael Steveen Estrada Martínez,25,Ecuador,Substitute
Moreto Moro Cassamá,23,Guinea Bissau,Midfielder
Jamilu Collins,26,Nigeria,Defender
Jessy Deminguet,23,France,Midfielder
Yusuf Sarı,22,Turkey,Substitute
Eduar Ayrton Preciado García,26,Ecuador,Substitute
Jón Dagur Þorsteinsson,22,Iceland,Striker
Jesus Ferreira,20,United States,Midfielder
Manprit Sarkaria,24,Austria,Substitute
Cristian Ezequiel Ferreira,21,Argentina,Midfielder
Antonio Moya Vega,23,Spain,Substitute
Rogério Oliveira da Silva,23,Brazil,Defender
Ramón Rodríguez Jiménez,21,Spain,Midfielder
Stanley Pierre N'Soki,22,France,Defender
Francis Apelete Amuzu,21,Belgium,Substitute
Jesús Manuel Medina Maldonado,24,Paraguay,Midfielder
Kristijan Bistrović,23,Croatia,Substitute
Ricardo Ryller Ribeiro Lino Silva,27,Brazil,Midfielder
Marius Lode,28,Norway,Defender
Mark Alexander McKenzie,22,United States,Defender
James Hoban Sands,20,United States,Substitute
Oumar Mickael Solet Bomawoko,21,France,Defender
Jerónimo Cacciabue,23,Argentina,Midfielder
Álvaro Aguado Méndez,25,Spain,Substitute
Kevin Federik Ramírez Dutra,26,Uruguay,Midfielder
Elvir Koljić,25,Bosnia and Herzegovina,Striker
Deiber Jair Caicedo Mideros,21,Colombia,Winger
Ionuț Nedelcearu,25,Romania,Defender
João Gervásio Bragança Moutinho,23,Portugal,Defender
Louis Jordan Beyer,21,Germany,Substitute
安西 幸輝,26,Japan,Substitute
Ismael Govea Solorzano,24,Mexico,Substitute
Paul Jaeckel,22,Germany,Substitute
Linton Maina,22,Germany,Midfielder
Jurgen Ekkelenkamp,21,Netherlands,Reserve
Heriberto Moreno Borges Tavares,24,Portugal,Substitute
Felix Agu,21,Germany,Substitute
André Filipe Cunha Vidigal,22,Portugal,Striker
Silvester van der Water,24,Netherlands,Midfielder
Francisco Gámez López,29,Spain,Defender
Erhan Çelenk,32,Turkey,Substitute
Jonathan Carlos Herrera,29,Argentina,Substitute
Lucas Henrique da Silva,26,Brazil,Defender
Moussa Kalilou Djitté,21,Senegal,Reserve
Nikola Katić,24,Croatia,Substitute
Maximiliano Nahuel Salas,23,Argentina,Midfielder
Ivan Šunjić,24,Croatia,Midfielder
Dino Perić,26,Croatia,Substitute
Fernando Dos Santos Pedro,22,Brazil,Substitute
Marius Bülter,28,Germany,Striker
Javier Hernández Carrera,23,Spain,Defender
Aleksandar Paločević,27,Serbia,Midfielder
Ubong Moses Ekpai,25,Nigeria,Substitute
Kamal Sowah,21,Ghana,Reserve
Alhassan Yusuf Abdullahi,20,Nigeria,Substitute
Francisco Javier Montero Rubio,22,Spain,Substitute
Vladimir Eduardo Loroña Aguilar,22,Mexico,Defender
Gaël Bella Ondoua,25,Cameroon,Midfielder
Dong-Gyeong Lee,23,Korea Republic,Substitute
Juan Diego Palacios Ricardo,21,Ecuador,Defender
Bruno José Pavani Lamas,27,Brazil,Midfielder
Maximilian Kilman,24,England,Defender
José Antonio Paradela,22,Argentina,Substitute
Chima Sean Okoroji,24,England,Defender
Jani Atanasov,21,North Macedonia,Substitute
Efstratios Svarnas,23,Greece,Substitute
Christian Kühlwetter,25,Germany,Striker
Makhtar Gueye,23,Senegal,Striker
